"id","frame_nmr","car_id","license_number","license_number_score","data_hora"
"1125142",206156,-1,"PVE7638","0.9554167985916138","2025-08-12 19:16:47.127766-03"
"1125143",206156,-1,"PVE7638","0.9300265312194824","2025-08-12 19:16:47.315118-03"
"1125144",206157,-1,"PVE7638","0.9517788887023926","2025-08-12 19:16:47.547875-03"
"1125145",206157,-1,"PVE7638","0.9552320241928101","2025-08-12 19:16:47.774939-03"
"1125146",206158,-1,"PVE7638","0.9402952194213867","2025-08-12 19:16:48.011726-03"
"1125147",206158,-1,"PVE7638","0.9638764262199402","2025-08-12 19:16:48.303744-03"
"1125148",206159,-1,"PVE7638","0.9404860138893127","2025-08-12 19:16:48.526427-03"
"1125149",206159,-1,"PVE7638","0.9288984537124634","2025-08-12 19:16:48.729545-03"
"1125150",206160,-1,"PVE7638","0.9563577771186829","2025-08-12 19:16:48.934743-03"
"1125151",206160,-1,"PVE7638","0.9667623043060303","2025-08-12 19:16:49.133885-03"
"1125152",206161,-1,"PVE7638","0.9614551663398743","2025-08-12 19:16:49.345045-03"
"1125153",206161,-1,"PVE7638","0.9666508436203003","2025-08-12 19:16:49.5462-03"
"1125154",206162,-1,"AUZ4X41","0.5518996119499207","2025-08-12 19:16:49.75339-03"
"1125155",206162,-1,"PVE7638","0.9353711605072021","2025-08-12 19:16:49.954301-03"
"1125156",206163,-1,"PVE7638","0.9512301683425903","2025-08-12 19:16:50.147438-03"
"1125157",206163,-1,"PVE7638","0.9627553820610046","2025-08-12 19:16:50.350582-03"
"1125158",206164,-1,"PVE7638","0.9457798004150391","2025-08-12 19:16:50.548004-03"
"1125159",206164,-1,"PVE7638","0.9323940277099609","2025-08-12 19:16:50.760964-03"
"1125160",206165,-1,"PVE7638","0.9520559310913086","2025-08-12 19:16:50.96814-03"
"1125161",206165,-1,"PVE7638","0.9869371056556702","2025-08-12 19:16:51.175414-03"
"1125162",206166,-1,"PVE7638","0.943123459815979","2025-08-12 19:16:51.378511-03"
"1125163",206166,-1,"PVE7638","0.9031093120574951","2025-08-12 19:16:51.580017-03"
"1125164",206167,-1,"PVE7638","0.9435693025588989","2025-08-12 19:16:51.779205-03"
"1125165",206167,-1,"PVE7638","0.9585205316543579","2025-08-12 19:16:51.990111-03"
"1125166",206168,-1,"PVE7638","0.9579764604568481","2025-08-12 19:16:52.171497-03"
"1125167",206168,-1,"PVE7638","0.9417397975921631","2025-08-12 19:16:52.372712-03"
"1125168",206169,-1,"PVE7638","0.9442791938781738","2025-08-12 19:16:52.589888-03"
"1125169",206169,-1,"PVE7638","0.9596526622772217","2025-08-12 19:16:52.790776-03"
"1125170",206170,-1,"PVE7638","0.9711679220199585","2025-08-12 19:16:52.993913-03"
"1125171",206170,-1,"PVE7638","0.9530102014541626","2025-08-12 19:16:53.196714-03"
"1125172",206171,-1,"PVE7638","0.9486176371574402","2025-08-12 19:16:53.380109-03"
"1125173",206171,-1,"PVE7638","0.9338613748550415","2025-08-12 19:16:53.590808-03"
"1125174",206172,-1,"PVE7638","0.9381988644599915","2025-08-12 19:16:53.789982-03"
"1125175",206172,-1,"PVE7638","0.9520598649978638","2025-08-12 19:16:53.987334-03"
"1125176",206173,-1,"PVE7638","0.982134997844696","2025-08-12 19:16:54.178742-03"
"1125177",206173,-1,"PVE7638","0.9842451810836792","2025-08-12 19:16:54.401598-03"
"1125178",206174,-1,"PVE7638","0.9831123948097229","2025-08-12 19:16:54.614613-03"
"1125179",206174,-1,"PVE7638","0.9556469917297363","2025-08-12 19:16:54.811939-03"
"1125180",206175,-1,"PVE7638","0.9699845314025879","2025-08-12 19:16:55.022874-03"
"1125181",206175,-1,"PVE7638","0.9593755602836609","2025-08-12 19:16:55.196494-03"
"1125182",206176,-1,"PVE7638","0.9314762353897095","2025-08-12 19:16:55.391897-03"
"1125183",206176,-1,"PVE7638","0.9463828206062317","2025-08-12 19:16:55.595018-03"
"1125184",206177,-1,"PYE7638","0.9533841013908386","2025-08-12 19:16:55.78617-03"
