"id","frame_nmr","car_id","license_number","license_number_score","data_hora"
"1105655",1380963,-1,"CMF5740","0.9155446887016296","2025-08-11 10:10:21.106317-03"
"1105656",1380964,-1,"GMF5740","0.916647732257843","2025-08-11 10:10:21.263807-03"
"1105657",1380964,-1,"GMF5740","0.9668022394180298","2025-08-11 10:10:21.421887-03"
"1105658",1380966,-1,"GMF5740","0.9676193594932556","2025-08-11 10:10:21.59346-03"
"1105659",1380967,-1,"GMF5740","0.9541831016540527","2025-08-11 10:10:21.92858-03"
"1105660",1380967,-1,"GHF5740","0.8876601457595825","2025-08-11 10:10:22.07865-03"
"1105661",1380968,-1,"GMF5740","0.9431188106536865","2025-08-11 10:10:22.246211-03"
"1105662",1380971,-1,"OMF6740","0.6711355447769165","2025-08-11 10:10:22.571807-03"
"1105663",1383087,-1,"TKU6829","0.8587676286697388","2025-08-11 10:15:54.338756-03"
"1105664",1383087,-1,"TKU6829","0.8860790729522705","2025-08-11 10:15:54.516333-03"
"1105665",1383088,-1,"TKV6829","0.8214071393013","2025-08-11 10:15:54.677849-03"
"1105666",1383088,-1,"TKV6829","0.9449976682662964","2025-08-11 10:15:54.835637-03"
"1105667",1383089,-1,"TKV6829","0.9678157567977905","2025-08-11 10:15:55.003411-03"
"1105668",1383089,-1,"TRO6829","0.7572230100631714","2025-08-11 10:15:55.172942-03"
"1105669",1383090,-1,"IKV6U29","0.6826626062393188","2025-08-11 10:15:55.486479-03"
"1105670",1383091,-1,"TKW6829","0.8158348202705383","2025-08-11 10:15:55.652227-03"
"1105671",1383091,-1,"TKV6829","0.8135776519775391","2025-08-11 10:15:55.813785-03"
"1105672",1383092,-1,"TKO6829","0.7998315691947937","2025-08-11 10:15:56.180724-03"
"1105673",1383095,-1,"IKV6829","0.7763373255729675","2025-08-11 10:15:56.409596-03"
"1105674",1383891,-1,"OZY5815","0.7240437269210815","2025-08-11 10:17:58.340151-03"
"1105675",1383893,-1,"OZA5815","0.6662211418151855","2025-08-11 10:17:59.406934-03"
"1105676",1383895,-1,"OZY5815","0.6679664254188538","2025-08-11 10:18:00.438379-03"
"1105677",1383897,-1,"OZY5815","0.8386622071266174","2025-08-11 10:18:01.392597-03"
"1105678",1383898,-1,"DZK5815","0.866331160068512","2025-08-11 10:18:01.867636-03"
"1105679",1383899,-1,"DZY5815","0.7453643679618835","2025-08-11 10:18:02.366234-03"
"1105680",1383900,-1,"OZY5815","0.7468195557594299","2025-08-11 10:18:02.819758-03"
"1105681",1383901,-1,"DZY5815","0.7367437481880188","2025-08-11 10:18:03.119611-03"
"1105682",1384122,-1,"DDN2142","0.823491096496582","2025-08-11 10:18:35.223253-03"
"1105683",1384122,-1,"DDN2142","0.8641079664230347","2025-08-11 10:18:35.41069-03"
"1105684",1384123,-1,"DDN2142","0.9378935694694519","2025-08-11 10:18:35.674876-03"
"1105685",1384123,-1,"DDN2142","0.9521188735961914","2025-08-11 10:18:35.858277-03"
"1105686",1384124,-1,"DDN2142","0.9834233522415161","2025-08-11 10:18:36.030085-03"
"1105687",1384124,-1,"DDN2142","0.9874776601791382","2025-08-11 10:18:36.241003-03"
"1105688",1384125,-1,"DDN2142","0.9788490533828735","2025-08-11 10:18:36.499643-03"
"1105689",1384125,-1,"DDN2142","0.974329948425293","2025-08-11 10:18:36.696684-03"
"1105690",1384126,-1,"DDN2142","0.9693050980567932","2025-08-11 10:18:36.941373-03"
"1105691",1384126,-1,"DDN2142","0.9794526100158691","2025-08-11 10:18:37.142441-03"
"1105692",1384127,-1,"DDN2142","0.9936792254447937","2025-08-11 10:18:37.327816-03"
"1105693",1384127,-1,"DDN2142","0.9845064878463745","2025-08-11 10:18:37.539023-03"
"1105694",1384128,-1,"DDN2142","0.9828566908836365","2025-08-11 10:18:37.716586-03"
"1105695",1384128,-1,"DDN2142","0.9898932576179504","2025-08-11 10:18:38.063955-03"
"1105696",1384129,-1,"DDN2142","0.9968226552009583","2025-08-11 10:18:39.236971-03"
"1105697",1384129,-1,"DDN2142","0.9962330460548401","2025-08-11 10:18:39.41058-03"
"1105698",1384130,-1,"DDN2142","0.9972738027572632","2025-08-11 10:18:39.595928-03"
"1105699",1384130,-1,"DDN2142","0.9972926378250122","2025-08-11 10:18:39.757383-03"
"1105700",1384131,-1,"DDN2142","0.994572639465332","2025-08-11 10:18:39.941018-03"
"1105701",1384131,-1,"DDN2142","0.9964585900306702","2025-08-11 10:18:40.116577-03"
"1105702",1384132,-1,"DDN2142","0.9433332681655884","2025-08-11 10:18:40.43008-03"
"1105703",1384132,-1,"DDN2142","0.9305229187011719","2025-08-11 10:18:40.631256-03"
"1105704",1384133,-1,"DDN2142","0.9922860264778137","2025-08-11 10:18:40.92301-03"
"1105705",1384133,-1,"DDN2142","0.9959632158279419","2025-08-11 10:18:41.077012-03"
"1105706",1384134,-1,"DDN2142","0.9821059107780457","2025-08-11 10:18:41.272117-03"
"1105707",1384134,-1,"DDN2142","0.9783955216407776","2025-08-11 10:18:41.494793-03"
"1105708",1384135,-1,"DDN2142","0.9271454811096191","2025-08-11 10:18:41.662585-03"
"1105709",1384135,-1,"DDN2142","0.9730944633483887","2025-08-11 10:18:41.865491-03"
"1105710",1384136,-1,"DDN2142","0.9976803064346313","2025-08-11 10:18:42.031364-03"
"1105711",1384136,-1,"DDN2142","0.9949274659156799","2025-08-11 10:18:42.209028-03"
"1105712",1384137,-1,"DDN2142","0.9726872444152832","2025-08-11 10:18:42.445708-03"
